Layer,Atom,Element,x,y,z,Occupancy
A1,Sc1,Sc3+,0,0,0,1
A1,Cl1,Cl1-,0.2421,0.7687,0,1
A1,Cl2,Cl1-,0.7579,0.2313,0,1
A1,Cl3,Cl1-,0.2387,0.2371,0.1609,1
A1,Cl4,Cl1-,0.7613,0.7629,0.1609,1
A1,Cl5,Cl1-,0.2387,0.2371,-0.1609,1
A1,Cl6,Cl1-,0.7613,0.7629,-0.1609,1
A1,Li3,Li+,0.5,0.5,0,0.27
B1,Li1,Li+,0.5,0,0.169,1
B1,Li2,Li+,0,0.5,0.169,0.365
